HomeTeam,AwayTeam,Home,Draw,Away,HomeDecimal,DrawDecimal,AwayDecimal,B365H,B365D,B365A,bet,Proba,Kelly,betDatePortion,Date,runningMoney,BetAmount,refill,withdraw
Hartberg,Universitatea Cluj,140,260,140,2.4,3.6,2.4,2.4,3.6,2.4,A,0.4499352180559456,0.057031802381621,0.010739408937749662,2022-06-28,10,0.10739408937749662,0,0
Zrinjski Mostar,NK Igman Konjic,-800,650,1600,1.125,7.5,17.0,1.125,7.5,17.0,H,0.9290056179168183,0.36105056125136514,0.014555061647969629,2022-06-28,10,0.14555061647969628,0,0
GKS Tychy,Garbarnia Krakow,-154,260,333,1.6493506493506491,3.6,4.33,1.6493506493506491,3.6,4.33,H,0.6583751763379416,0.13227294789837155,0.01157863048207164,2022-06-28,10,0.1157863048207164,0,0
ND Gorica,Tabor Sezana,100,280,187,2.0,3.8,2.87,2.0,3.8,2.87,H,0.5769620712698207,0.15392414253964137,0.011832055238847339,2022-06-28,10,0.11832055238847339,0,0
Slavia Prague,Olympiakos,162,220,137,2.62,3.2,2.37,2.62,3.2,2.37,D,0.3981081332213162,0.12452092104918724,0.011489219633102335,2022-06-28,10,0.11489219633102335,0,0
Slavoj Trebisov,FC Tatran Presov,-110,300,190,1.9090909090909087,4.0,2.9,1.9090909090909087,4.0,2.9,H,0.5837310636689645,0.12583523370482536,0.011504329987559415,2022-06-28,10,0.11504329987559415,0,0
Termalica BB Nieciecza,MFK Karvina,105,275,180,2.05,3.75,2.8,2.05,3.75,2.8,A,0.3909870246658507,0.052646482813545524,0.010692416311736274,2022-06-28,10,0.10692416311736273,0,0
TuS Bersenbruck,TuS Blau-Weiss Lohne,500,333,-250,6.0,4.33,1.4,6.0,4.33,1.4,A,0.7163499060004354,0.007224671001523632,0.010217612250080098,2022-06-28,10,0.10217612250080098,0,0
Portugal Women,Australia Women,175,120,300,2.75,2.2,4.0,2.75,2.2,4.0,H,0.45285051814254174,0.14019367136685126,0.011670705782376395,2022-06-28,10,0.11670705782376395,0,0
Poland Women,Iceland Women,250,250,-110,3.5,3.5,1.9090909090909087,3.5,3.5,1.9090909090909087,D,0.36644756388758337,0.1130265894426167,0.011357914808992864,2022-06-28,10,0.11357914808992864,0,0
Dortmund (Chellovekk) Esports,A.Madrid (Kodak) Esports,900,450,-450,10.0,5.5,1.2222222222222223,10.0,5.5,1.2222222222222223,A,0.8453180276700771,0.14924915218542456,0.011776869591429134,2022-06-28,10,0.11776869591429134,0,0
Inter (DaVa) Esports,Barcelona (Bomb1to) Esports,260,105,200,3.6,2.05,3.0,3.6,2.05,3.0,H,0.41318767967782066,0.1874906334000594,0.01223595666710263,2022-06-28,10,0.12235956667102629,0,0
PSG (Nederfox) Esports,Liverpool (Calvin) Esports,-138,275,275,1.7246376811594204,3.75,3.75,1.7246376811594204,3.75,3.75,H,0.6621080560292701,0.19581717334966303,0.012338265196041927,2022-06-28,10,0.12338265196041927,0,0
A.Madrid (Kodak) Esports,Inter (DaVa) Esports,180,200,137,2.8,3.0,2.37,2.8,3.0,2.37,D,0.46313975515081673,0.1947096327262251,0.012324607630664881,2022-06-28,10,0.12324607630664881,0,0
Napoli (dm1trena) Esports,Lyon (DriLLeR) Esports,120,225,187,2.2,3.25,2.87,2.2,3.25,2.87,H,0.4869395595795399,0.059389192562489805,0.010764755779387337,2022-06-28,10,0.10764755779387336,0,0
Chelsea (Krouks) Esports,Tottenham (Nasmi) Esports,-125,350,200,1.8,4.5,3.0,1.8,4.5,3.0,H,0.6243450161427526,0.15477628632119342,0.011842142148280293,2022-06-28,10,0.11842142148280292,0,0
